collection_id,collection_name,author_name_ko,author_name_hanja,ja,ho,dynasty,birth_year,death_year,confidence,note
0548,삼산재집,김이안,金履安,원례(元禮),삼산재(三山齋),조선,1722,1791,high,안동김씨 명문가 출신; 김창협의 증손; 성리학자
0549,해좌집,정범조,丁範祖,법세(法世),해좌(海左),조선,1723,1801,high,나주정씨; 형조판서·대제학 역임; 시호 문헌
0550,죽하집,김익,金熤,광중(光仲),죽하(竹下)/약현(藥峴),조선,1723,1790,high,정조 때 영의정 역임; 시호 문정
0551,이계집,홍양호,洪良浩,한사(漢師),이계(耳溪),조선,1724,1802,high,이조판서 및 예문관·홍문관 대제학 역임
0552,순암집,안정복,安鼎福,백순(百順),순암(順庵)/한산병은(漢山病隱)/영장산객(靈長山客)/상헌(橡軒),조선,1712,1791,high,성호 이익의 문인; 동사강목 저자
0553,존재집,위백규,魏伯珪,자화(子華),존재(存齋)/계항(桂巷),조선,1727,1798,high,호남 3천재로 불린 실학자
0554,성담집,송환기,宋煥箕,자동(子東),심재(心齋)/성담(性潭),조선,1728,1807,high,송시열의 5대손; 우찬성 역임
0555,하서집,김인후,金麟厚,후지(厚之),하서(河西)/담재(湛齋),조선,1510,1560,high,16세기 인물이나 1802년 정조의 명으로 중간되어 문집총간에서 후대 문집들 사이에 배치됨; 번호 순서가 저자 생몰년 순이 아닌 예외 사례로 검색을 통해 확인함
0556,몽오집,김종수,金鍾秀,정부(定夫),몽오(夢梧)/솔옹(率翁),조선,1728,1799,high,정조의 세손 시절 스승; 노론 벽파 핵심 인물
0557,이재유고,황윤석,黃胤錫,영수(永叟),이재(頤齋)/서명산인(西溟散人)/운포주인(雲浦主人)/월송외사(越松外史),조선,1729,1791,high,호남 실학자; 이재난고의 저자; 운학에 밝음
0559,수산집,이종휘,李種徽,덕숙(德叔),수산(修山),조선,1731,1797,high,양명학적 성향의 사학자; 동사 저술
0560,담헌서,홍대용,洪大容,덕보(德保),담헌(湛軒)/홍지(弘之),조선,1731,1783,high,북학파 실학자; 지전설 주장; 연행록 저자
0561,청성집,성대중,成大中,사집(士執),청성(靑城),조선,1732,1809,high,서얼 출신 문신; 청성잡기 저자
0562,자저,유한준,兪漢雋,만청(曼倩)/여성(汝成),저암(著菴)/창애(蒼厓),조선,1732,1811,high,自著는 저자 스스로 붙인 문집명으로 호를 딴 제목이 아님; 화가 유한지의 종형
0563,근재집,박윤원,朴胤源,영숙(永叔),근재(近齋),조선,1734,1799,high,기호학파 성리학자; 김원행의 문인
0564,능허관만고,이선,李愃,,능허관(凌虛觀),조선,1735,1762,high,사도세자(思悼世子)로 널리 알려진 영조의 아들이자 정조의 생부; 후에 장조(莊祖)로 추존됨; 정조가 문집을 편차하여 홍재전서와 함께 간행
0566,묵헌집,이만운,李萬運,원춘(元春),묵헌(默軒),조선,1736,1820,medium,동명이인 이만운(李萬運;1723~1797)이 별도로 존재하여 혼동 가능성 있음; 안의현감을 지낸 1736~1820년생 이만운의 문집으로 추정
0567,만각재집,이동급,李東汲,진여(進汝),만각재(晩覺齋),조선,1738,1811,high,광주이씨
0568,연암집,박지원,朴趾源,중미(仲美)/미중(美仲),연암(燕巖)/연상(煙湘)/열상외사(洌上外史),조선,1737,1805,high,북학파 대표 인물; 열하일기·허생전 저자
0569,신재집,이도중,李䆃重,,신재(新齋),조선,1784,1872,low,저자 확정에 어려움 있음; 관련 자료들이 이도중(李䆃重;1784~1872;흥선대원군 집권기 공조판서 등 역임)을 신재집 저자로 연결하나 자·호 세부사항이 확인되지 않고 문집총간 인접 번호(548~589권)의 저자들이 대부분 1720~1750년대 출생인 것과 달리 시대가 크게 늦어 이례적임; 동일인 여부 및 생몰년 교차검증 실패로 신뢰도 낮음
0570,송목관신여고,이언진,李彦瑱,우상(虞裳),송목관(松穆館)/운아(雲我)/창기(滄起),조선,1740,1766,high,역관 출신 시인; 26세에 요절
0571,입재집,정종로,鄭宗魯,사앙(士仰),입재(立齋)/무적옹(無適翁),조선,1738,1816,high,영남학파 계승; 상주 출신
0572,금석집,박준원,朴準源,평숙(平叔),금석(錦石),조선,1739,1807,high,수빈박씨(정조의 후궁; 순조의 생모)의 부친; 순조의 외조부
0573,과재유고,김정묵,金正默,이운(而運),과재(過齋),조선,1739,1799,high,김장생의 후손; 기호학파 도학자; 초명은 두묵(斗默)
0574,금대시문초,이가환,李家煥,정조(廷藻),금대(錦帶)/정헌(貞軒),조선,1742,1801,high,성호 이익의 종손; 신유박해로 옥사; 정조가 정학사로 칭함
0575,초원유고,이충익,李忠翊,우신(虞臣),초원(椒園),조선,1744,1816,high,강화학파 양명학자
0576,무명자집,윤기,尹愭,경부(敬夫),무명자(無名子),조선,1741,1826,high,성호 이익의 문인; 호조참의 역임
0577,청장관전서,이덕무,李德懋,무관(懋官),아정(雅亭)/형암(炯庵)/청장관(靑莊館)/동방일사(東方一士),조선,1741,1793,high,규장각 초대 검서관; 북학파; 청비록 등 저술
0578,해석유고,김재찬,金載瓚,국보(國寶),해석(海石),조선,1746,1827,high,평안도관찰사·한성부판윤·우의정 역임; 시호 문충
0579,영재집,유득공,柳得恭,혜보(惠甫)/혜풍(惠風),영재(泠齋)/영암(泠庵)/고운당(古芸堂),조선,1748,1807,high,규장각 검서관; 발해고 저자
0580,공백당집,황덕일,黃德壹,신수(莘叟),공백당(拱白堂),조선,1748,1800,high,순암 안정복의 문인; 하려집 저자 황덕길의 형
0581,하려집,황덕길,黃德吉,이길(耳吉),하려(下廬),조선,1750,1827,high,순암 안정복의 문인; 공백당집 저자 황덕일의 동생; 성호학파 학통 계승
0582,명고전집,서형수,徐瀅修,유청(幼淸)/여림(汝琳),명고(明皐),조선,1749,1824,high,대제학 서명응의 아들
0583,정유각집,박제가,朴齊家,차수(次修)/재선(在先)/수기(修其),초정(楚亭)/정유(貞蕤)/위항도인(葦杭道人),조선,1750,1805,high,북학파; 규장각 검서관; 북학의 저자
0584,홍재전서,이산,李祘,형운(亨運),홍재(弘齋),조선,1752,1800,high,조선 제22대 왕 정조(正祖)의 어릴 적 휘; 사도세자와 혜경궁 홍씨의 아들
0585,극원유고,이만수,李晩秀,성중(成仲),극옹(屐翁)/극원(屐園),조선,1752,1820,high,대제학 역임
0586,사명자시집,차좌일,車佐一,숙장(叔章),사명자(四名子),조선,1753,1809,high,서얼 출신 시인; 차천로의 후손
0587,후계집,이이순,李頤淳,치양(穉養),후계(後溪)/만와(晩窩)/긍재(兢齋)/육우당(六友堂),조선,1754,1832,high,이황의 9세손; 초자는 비언(斐彦)
0588,죽석관유집,서영보,徐榮輔,경세(慶世),죽석(竹石),조선,1759,1816,high,규장각 제학 등 역임
0589,척재집,이서구,李書九,낙서(洛瑞),척재(惕齋)/강산(薑山),조선,1754,1825,high,조선 후기 4대 시인(후사가) 중 한 명; 박지원의 문인
